"","d$nombre_act","d$latitud","d$longitud"
"389","Bufetes jurídicos",19.42233055,-99.15464574
"390","Bufetes jurídicos",19.41647345,-99.15586327
"391","Bufetes jurídicos",19.40419976,-99.16446184
"392","Bufetes jurídicos",19.41816944,-99.14787308
"393","Bufetes jurídicos",19.3790698,-99.16125128
"394","Bufetes jurídicos",19.41816944,-99.14787308
"395","Bufetes jurídicos",19.41816944,-99.14787308
"396","Bufetes jurídicos",19.41816944,-99.14787308
"397","Bufetes jurídicos",19.40412912,-99.16726501
"398","Bufetes jurídicos",19.40363001,-99.16588808
"399","Bufetes jurídicos",19.36790691,-99.17849377
"400","Bufetes jurídicos",19.3803497,-99.18078012
"401","Bufetes jurídicos",19.40717622,-99.1851005
"402","Bufetes jurídicos",19.4161689,-99.16636716
"403","Bufetes jurídicos",19.40195194,-99.16967084
"404","Bufetes jurídicos",19.41409308,-99.16776593
"405","Bufetes jurídicos",19.41131919,-99.1425837
"406","Bufetes jurídicos",19.42218719,-99.15527137
"407","Bufetes jurídicos",19.41974581,-99.15333069
"408","Bufetes jurídicos",19.41953956,-99.15252455
"409","Bufetes jurídicos",19.41493812,-99.16369238
"410","Bufetes jurídicos",19.41604841,-99.1580337
"411","Bufetes jurídicos",19.42072803,-99.1520135
"412","Bufetes jurídicos",19.41977584,-99.15368884
"413","Bufetes jurídicos",19.41920744,-99.14839499
"414","Bufetes jurídicos",19.41901607,-99.14625434
"415","Bufetes jurídicos",19.43510497,-99.13343623
"416","Bufetes jurídicos",19.40643969,-99.15917213
"417","Bufetes jurídicos",19.3734287,-99.13882779
"418","Bufetes jurídicos",19.36926055,-99.16257303
"419","Bufetes jurídicos",19.40694263,-99.16144141
"420","Bufetes jurídicos",19.40584878,-99.16686288
"421","Bufetes jurídicos",19.43108947,-99.16044208
"422","Bufetes jurídicos",19.43711408,-99.20394664
"423","Bufetes jurídicos",19.41909629,-99.15435974
"424","Bufetes jurídicos",19.39410978,-99.17217911
"425","Bufetes jurídicos",19.41816944,-99.14787308
"426","Bufetes jurídicos",19.43875284,-99.1582482
"427","Bufetes jurídicos",19.41638154,-99.16485367
"428","Bufetes jurídicos",19.40588846,-99.16603394
"429","Bufetes jurídicos",19.42059736,-99.15215417
"430","Bufetes jurídicos",19.43358982,-99.14275475
"431","Bufetes jurídicos",19.36956501,-99.17090009
"432","Bufetes jurídicos",19.41381361,-99.16491976
"433","Bufetes jurídicos",19.4064652,-99.16782115
"434","Bufetes jurídicos",19.41816944,-99.14787308
"435","Bufetes jurídicos",19.41775618,-99.16598052
"436","Bufetes jurídicos",19.42338371,-99.15687355
"437","Bufetes jurídicos",19.435468,-99.14869714
"438","Bufetes jurídicos",19.43669623,-99.18554317
"439","Bufetes jurídicos",19.41354525,-99.16968225
"440","Bufetes jurídicos",19.42627716,-99.1700963
"441","Bufetes jurídicos",19.43677696,-99.2012543
"442","Bufetes jurídicos",19.4365541,-99.17829451
"443","Bufetes jurídicos",19.43355259,-99.18342753
"444","Bufetes jurídicos",19.42993547,-99.15651948
"445","Bufetes jurídicos",19.43053444,-99.20797373
"446","Bufetes jurídicos",19.43957241,-99.15288188
"447","Bufetes jurídicos",19.42987639,-99.21212173
"448","Bufetes jurídicos",19.38673967,-99.16018704
"449","Bufetes jurídicos",19.40489484,-99.23951467
"450","Bufetes jurídicos",19.43047043,-99.20083743
"451","Bufetes jurídicos",19.41372381,-99.16831419
"452","Bufetes jurídicos",19.39469531,-99.17352978
"453","Bufetes jurídicos",19.41783299,-99.16938312
"454","Bufetes jurídicos",19.42719873,-99.19437197
"455","Bufetes jurídicos",19.43136923,-99.17847685
"456","Bufetes jurídicos",19.4195998,-99.16847169
"457","Bufetes jurídicos",19.41816574,-99.16771715
"458","Bufetes jurídicos",19.41816944,-99.14787308
"459","Bufetes jurídicos",19.43054646,-99.15534492
"460","Bufetes jurídicos",19.42294247,-99.16934788
"461","Bufetes jurídicos",19.40874492,-99.23814313
"462","Bufetes jurídicos",19.43475041,-99.19965694
"463","Bufetes jurídicos",19.43060316,-99.18978807
"464","Bufetes jurídicos",19.37725137,-99.17503804
"465","Bufetes jurídicos",19.4118755,-99.14447715
"466","Bufetes jurídicos",19.39027596,-99.24313034
"467","Bufetes jurídicos",19.39486195,-99.17422761
"468","Bufetes jurídicos",19.40268149,-99.16892873
"469","Bufetes jurídicos",19.4038949,-99.24030168
"470","Bufetes jurídicos",19.42957312,-99.16912365
"471","Bufetes jurídicos",19.42812069,-99.17714299
"472","Bufetes jurídicos",19.394132,-99.16546199
"473","Bufetes jurídicos",19.43555808,-99.13752987
"474","Bufetes jurídicos",19.43581056,-99.13236179
"475","Bufetes jurídicos",19.43459108,-99.14012311
"476","Bufetes jurídicos",19.42565666,-99.15867296
"477","Bufetes jurídicos",19.42689565,-99.20745243
"478","Bufetes jurídicos",19.40248317,-99.16757508
"479","Bufetes jurídicos",19.42699466,-99.21996244
"480","Bufetes jurídicos",19.43389769,-99.14741671
"481","Bufetes jurídicos",19.42786863,-99.20731309
"482","Bufetes jurídicos",19.39469531,-99.17352978
"483","Bufetes jurídicos",19.3694275,-99.16832692
"484","Bufetes jurídicos",19.37999825,-99.17354497
"485","Bufetes jurídicos",19.41518733,-99.16187846
"486","Bufetes jurídicos",19.42218719,-99.15527137
"487","Bufetes jurídicos",19.39486195,-99.17422761
"488","Bufetes jurídicos",19.43136071,-99.18863299
"489","Bufetes jurídicos",19.40412463,-99.16726391
"490","Bufetes jurídicos",19.41638998,-99.15629339
"491","Bufetes jurídicos",19.43155135,-99.13657942
"492","Bufetes jurídicos",19.42950681,-99.20259882
"493","Bufetes jurídicos",19.37898251,-99.1582272
